finding,organ_scope,decode_condition,icd,tier,level,quote
aspiration_squames,lung,Neonatal aspiration syndromes,P24.1-P24.9,primary,L1/L2,"lung tissue with aspirated material in airspaces"
aspiration_squames,lung,Aspiration pneumonia,J69.0,primary,L1/L2,"aspirated material in airspaces + associated inflammation (acute alveolar damage, BOOP)"
aspiration_squames,lung,Intrauterine hypoxia / birth asphyxia,"P20, P21",primary,L1/L2,"histologic perinatal hypoxia in >=1 organ; pathologists confirmed 2026-08-17 that aspiration findings are this evidence"
aspiration_meconium,lung,Meconium aspiration,P24.0,primary,L1/L2,"lung tissue with meconium in airspaces"
aspiration_meconium,lung,Intrauterine hypoxia / birth asphyxia,"P20, P21",primary,L1/L2,"histologic perinatal hypoxia in >=1 organ; pathologists confirmed 2026-08-17 that aspiration findings are this evidence"
aspiration_gi_contents,lung,Aspiration pneumonia / neonatal aspiration syndromes,"J69.0, P24.1-P24.9",primary,L1/L2,"aspirated material in airspaces"
bronchopneumonia,lung,Pneumonia,J18,primary,L1,"strong histologic pyogenic pneumonia"
bronchopneumonia,lung,Pathogen-specific bacterial pneumonias,"J13-J16",primary,L1/L2,"histologic pneumonia + agent in lung (viral patterns J10.0/J12 map to pneumonitis/DAD)"
bronchopneumonia,lung,Congenital pneumonia,P23,primary,L1,"strong histologic pneumonia in a neonate <48 h or a stillbirth"
bronchopneumonia,lung,Sepsis / neonatal sepsis,"A41.9, P36",contributing,L1,"histologic pyogenic infection in >=2 tissues"
pneumonitis,lung,Viral pneumonias,J12.0-J12.8,primary,L1,"strong histologic viral pneumonia + virus in lung"
pneumonitis,lung,HIV-related lymphoid interstitial pneumonitis,B22.1,primary,L1,"pathologic LIP (architecture destruction, lymphocytic infiltration) in an HIV+ patient"
organizing_pneumonia,lung,Aspiration pneumonia,J69.0,contributing,L1,"associated inflammation (acute alveolar damage, BOOP)"
bronchiolitis,lung,Bronchiolitis,"J21.0, J21.1, J21.8, J21.9",primary,L1,"histologic bronchiolitis: giant cells, bronchial-epithelium necrosis, intraluminal infiltrates"
